@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
17,'2022/08/22 14:02:40:087',1,-61.414055,63.87801,32.115105,9.933517,-25.388918,13.734922,-11.8879,-10.454099,19.349354,-9.177602,-3.974818,-19.387081,-17.670145,0.017376,1.350875,10.695303,-6.947665,4.596797,4.039351,-2.71256,-2.182607,-13.156815,-2.491166,4.542048,-2.641751,1.400257,1
18,'2022/08/22 14:02:40:088',1,-61.414055,63.87801,32.115105,9.933517,-25.388918,13.734922,-11.8879,-10.454099,19.349354,-9.177602,-3.974818,-19.387081,-17.670145,0.017376,1.350875,10.695303,-6.947665,4.596797,4.039351,-2.71256,-2.182607,-13.156815,-2.491166,4.542048,-2.641751,1.400257,1
19,'2022/08/22 14:02:40:097',1,-64.218513,60.120136,34.96862,7.17842,-22.936625,16.850929,-16.439192,-9.060561,17.564571,-16.159058,-8.084626,-23.3645,-23.661724,-2.632502,-4.435662,14.257573,-3.992704,7.819216,9.716896,-1.021559,1.466849,-8.548741,4.548765,8.378962,-2.088313,2.341734,1
20,'2022/08/22 14:02:40:097',1,-64.218513,60.120136,34.96862,7.17842,-22.936625,16.850929,-16.439192,-9.060561,17.564571,-16.159058,-8.084626,-23.3645,-23.661724,-2.632502,-4.435662,14.257573,-3.992704,7.819216,9.716896,-1.021559,1.466849,-8.548741,4.548765,8.378962,-2.088313,2.341734,1
21,'2022/08/22 14:02:40:098',1,-64.218513,60.120136,34.96862,7.17842,-22.936625,16.850929,-16.439192,-9.060561,17.564571,-16.159058,-8.084626,-23.3645,-23.661724,-2.632502,-4.435662,14.257573,-3.992704,7.819216,9.716896,-1.021559,1.466849,-8.548741,4.548765,8.378962,-2.088313,2.341734,1
22,'2022/08/22 14:02:40:099',1,-64.218513,60.120136,34.96862,7.17842,-22.936625,16.850929,-16.439192,-9.060561,17.564571,-16.159058,-8.084626,-23.3645,-23.661724,-2.632502,-4.435662,14.257573,-3.992704,7.819216,9.716896,-1.021559,1.466849,-8.548741,4.548765,8.378962,-2.088313,2.341734,1
23,'2022/08/22 14:02:40:100',1,-64.218513,60.120136,34.96862,7.17842,-22.936625,16.850929,-16.439192,-9.060561,17.564571,-16.159058,-8.084626,-23.3645,-23.661724,-2.632502,-4.435662,14.257573,-3.992704,7.819216,9.716896,-1.021559,1.466849,-8.548741,4.548765,8.378962,-2.088313,2.341734,1
24,'2022/08/22 14:02:40:101',1,-64.218513,60.120136,34.96862,7.17842,-22.936625,16.850929,-16.439192,-9.060561,17.564571,-16.159058,-8.084626,-23.3645,-23.661724,-2.632502,-4.435662,14.257573,-3.992704,7.819216,9.716896,-1.021559,1.466849,-8.548741,4.548765,8.378962,-2.088313,2.341734,1
25,'2022/08/22 14:02:40:101',1,-64.218513,60.120136,34.96862,7.17842,-22.936625,16.850929,-16.439192,-9.060561,17.564571,-16.159058,-8.084626,-23.3645,-23.661724,-2.632502,-4.435662,14.257573,-3.992704,7.819216,9.716896,-1.021559,1.466849,-8.548741,4.548765,8.378962,-2.088313,2.341734,1
26,'2022/08/22 14:02:40:108',1,-73.892982,63.808308,35.627491,5.124057,-21.536041,16.863914,-9.680937,-3.572461,15.987669,-11.575482,-4.809082,-22.009737,-21.717827,-2.614609,-8.554727,11.435148,-2.372071,6.486825,7.457023,-5.275302,-1.994778,-8.009319,-2.18157,6.615767,-0.524502,3.563815,1
27,'2022/08/22 14:02:40:108',1,-73.892982,63.808308,35.627491,5.124057,-21.536041,16.863914,-9.680937,-3.572461,15.987669,-11.575482,-4.809082,-22.009737,-21.717827,-2.614609,-8.554727,11.435148,-2.372071,6.486825,7.457023,-5.275302,-1.994778,-8.009319,-2.18157,6.615767,-0.524502,3.563815,1
